url,Title,Title_link,Authors,Authors_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Author Gender,Author Birth Country,Author Birth Continent
https://swordandlaser.fandom.com/wiki/Book_List,Aurora,https://swordandlaser.fandom.com/wiki/Aurora,Kim Stanley Robinson,https://www.goodreads.com/author/show/1858.Kim_Stanley_Robinson,Orbit,May '16,May,2016,84,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2015,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Darker Shade of Magic,https://swordandlaser.fandom.com/wiki/A_Darker_Shade_of_Magic,V.E.Schwab,https://www.goodreads.com/author/show/7168230.V_E_Schwab,Tor Books,Apr '16,Apr,2016,83,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2015,March Madness,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Fifth Season,https://swordandlaser.fandom.com/wiki/The_Fifth_Season,N.K.Jemisin,https://www.goodreads.com/author/show/2917917.N_K_Jemisin,Orbit,Apr '16,Apr,2016,83a,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2015,March Madness,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,All the Birds in the Sky,https://swordandlaser.fandom.com/wiki/All_the_Birds_in_the_Sky,Charlie Jane Anders,https://www.goodreads.com/author/show/4918514.Charlie_Jane_Anders,Tor Books,Mar '16,Mar,2016,82,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2016,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Sword of Shannara,https://swordandlaser.fandom.com/wiki/The_Sword_of_Shannara,Terry Brooks,https://www.goodreads.com/author/show/9629.Terry_Brooks,Del Rey,Feb '16,Feb,2016,81,https://swordandlaser.fandom.com/wiki/Book_List,,1977,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Radiance,https://swordandlaser.fandom.com/wiki/Radiance,Catherynne M.Valente,https://www.goodreads.com/author/show/338705.Catherynne_M_Valente,Tor Books,Jan '16,Jan,2016,80,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2015,Tom,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Arrows of the Queen,https://swordandlaser.fandom.com/wiki/Arrows_of_the_Queen,Mercedes Lackey,https://www.goodreads.com/author/show/8685.Mercedes_Lackey,DAW Books,Dec '15,Dec,2015,79,https://swordandlaser.fandom.com/wiki/Book_List,,1987,Veronica,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Time and Again,https://swordandlaser.fandom.com/wiki/Time_and_Again,Jack Finney,https://www.goodreads.com/author/show/6944.Jack_Finney,Orion Publishing,Nov '15,Nov,2015,78,https://swordandlaser.fandom.com/wiki/Book_List,,1970,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Traitor Baru Cormorant,https://swordandlaser.fandom.com/wiki/The_Traitor_Baru_Cormorant,Seth Dickinson,https://www.goodreads.com/author/show/5760737.Seth_Dickinson,Tor,Oct '15,Oct,2015,77,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2015,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Canticle for Leibowitz,https://swordandlaser.fandom.com/wiki/A_Canticle_for_Leibowitz,Walter M. Miller Jr,https://www.goodreads.com/author/show/6025722.Walter_M_Miller_Jr_,HarperCollins EOS,Sep '15,Sep,2015,76,https://swordandlaser.fandom.com/wiki/Book_List,Oct,1959,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Uprooted,https://swordandlaser.fandom.com/wiki/Uprooted,Naomi Novik,https://www.goodreads.com/author/show/8730.Naomi_Novik,Del Rey,Aug '15,Aug,2015,75,https://swordandlaser.fandom.com/wiki/Book_List,May,2015,Veronica,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Station Eleven,https://swordandlaser.fandom.com/wiki/Station_Eleven,Emily St. John Mandel,https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel,Knopf,Jul '15,Jul,2015,74,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2014,Poll,Female,Canada,North America
https://swordandlaser.fandom.com/wiki/Book_List,City of Stairs,https://swordandlaser.fandom.com/wiki/City_of_Stairs,Robert Jackson Bennett,https://www.goodreads.com/author/show/2916869.Robert_Jackson_Bennett,Broadway Books,Jun '15,Jun,2015,73,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2014,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Sword of Rhiannon,https://swordandlaser.fandom.com/wiki/The_Sword_of_Rhiannon,Leigh Brackett,https://www.goodreads.com/author/show/22648.Leigh_Brackett,Ace Books,May '15,May,2015,72,https://swordandlaser.fandom.com/wiki/Book_List,,1949,Tom,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Wyrd Sisters,https://swordandlaser.fandom.com/wiki/Wyrd_Sisters,Terry Pratchett,https://www.goodreads.com/author/show/1654.Terry_Pratchett,Hartorch,Apr '15,Apr,2015,71,https://swordandlaser.fandom.com/wiki/Book_List,Nov,1988,Poll,Male,United Kingdom,Europe
https://swordandlaser.fandom.com/wiki/Book_List,The Goblin Emperor,https://swordandlaser.fandom.com/wiki/The_Goblin_Emperor,Katherine Addison,https://www.goodreads.com/author/show/6949698.Katherine_Addison,Tor Books,Mar '15,Mar,2015,70,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2014,Tom,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Annihilation,https://swordandlaser.fandom.com/wiki/Annihilation,Jeff VanderMeer,https://www.goodreads.com/author/show/33919.Jeff_VanderMeer,FSG Originals,Feb '15,Feb,2015,69,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2014,Veronica,Male,United States,North America
